customer_id,age,gender,marital_status,education_level,dependent_count,occupation_type,annual_income,income_band,income_category,city_tier,region,customer_segment,tenure_months,onboarding_channel,relationship_type,number_of_products,primary_account_type,card_category,customer_lifetime_value,loyalty_program_member,referral_count,last_contacted_days,relationship_manager_assigned,avg_monthly_balance,current_balance,balance_decline_percentage,monthly_transaction_count,monthly_transaction_value,cash_withdrawal_count,upi_transaction_count,debit_card_transaction_count,net_banking_transaction_count,account_inactive_days,total_trans_amt,total_trans_count,total_amt_chng_q4_q1,total_ct_chng_q4_q1,avg_open_to_buy,total_revolving_bal,savings_account_flag,current_account_flag,credit_card_flag,personal_loan_flag,home_loan_flag,auto_loan_flag,fixed_deposit_flag,investment_product_flag,insurance_product_flag,demat_account_flag,credit_card_limit,credit_card_spend,credit_utilization_ratio,minimum_due_paid_flag,late_credit_card_payment_count,loan_outstanding_amount,emi_amount,emi_payment_delay_count,loan_default_risk_score,prepayment_flag,mobile_app_login_count,website_login_count,digital_transaction_ratio,last_login_days,failed_login_count,app_rating_given,paperless_statement_enabled,digital_service_usage_score,mobile_banking_active_flag,email_open_rate,total_complaints,complaint_resolution_time,unresolved_complaint_count,branch_visit_count,call_center_interaction_count,relationship_manager_interaction_count,service_request_count,escalation_count,satisfaction_score,nps_score,campaign_received_count,campaign_response_count,cross_sell_offer_count,upsell_offer_count,retention_offer_received,retention_offer_accepted,last_campaign_response_days,discount_or_fee_waiver_received,competitor_bank_offer_awareness,customer_feedback_sentiment,monthly_income_estimate,credit_utilization_3m_avg,credit_utilization_6m_avg,avg_quarterly_balance,total_digital_logins,debt_to_income_ratio,digital_engagement_index,churn_probability,risk_level,retention_strategy
133697,55,Female,Single,Uneducated,3,Salaried,24954,Low,Less than $40K,Tier 2,North,Mass,47,Online,Multi-Product,2,Savings,Blue,2357.99,0,0,13,1,7255.0,6732.0,6.26,7,743.17,3,7,6,3,162,8918,87,1.003,0.977,3982.0,859,1,0,1,0,0,0,0,0,0,0,4841,5083.0,0.177,0,1,0.0,0.0,0,60.6,0,15,3,0.842,27,1,4.9,0,46.4,1,0.235,3,1,1,1,4,1,1,0,3.8,-11,2,0,1,3,1,1,69,0,Low,Neutral,1966,0.136,0.209,21982.0,18,0.0,41.5,0.9757819,HIGH,Digital engagement campaign | Cashback and rewards offer
138377,41,Male,Married,Uneducated,3,Self-Employed,171699,High,$120K +,Tier 1,North,HNI,36,DSA,Savings Only,1,Current,Blue,11919.95,0,0,365,1,1522.0,1908.0,28.6,4,466.92,2,8,4,5,86,5603,56,0.377,0.244,34516.0,0,1,0,1,0,1,1,0,0,0,1,34516,2504.0,0.0,0,2,80972.0,3176.0,0,63.6,0,18,4,0.895,20,1,3.9,0,52.8,1,0.247,1,1,0,1,3,0,5,0,2.8,-14,2,0,1,0,1,0,27,0,High,Negative,16509,0.0,0.09,4561.0,22,0.222,46.6,0.99976426,HIGH,Financial advisory support | Cashback and rewards offer
137476,46,Female,Married,College,3,Salaried,29527,Low,Less than $40K,Tier 3,North,Affluent,36,Branch,Lending,2,Savings,Blue,1923.25,1,0,105,0,5679.0,5321.0,6.64,3,173.08,8,18,5,3,117,2077,44,0.537,0.419,1804.0,0,1,1,1,1,0,1,0,0,0,1,1804,1302.0,0.0,1,1,131515.0,2883.0,0,23.8,0,11,8,0.765,13,1,4.2,0,41.2,1,0.682,3,5,1,5,4,0,5,0,3.4,11,4,0,1,2,1,0,44,0,High,Neutral,2528,0.01,0.11,16831.0,19,1.1717,34.4,0.95865464,HIGH,Digital engagement campaign | Cashback and rewards offer
138646,51,Female,Single,Graduate,4,Self-Employed,18580,Low,Less than $40K,Tier 2,West,Mass,44,Branch,Multi-Product,5,Savings,Blue,3155.28,1,1,109,0,3695.0,2643.0,23.22,3,210.0,3,13,7,6,119,2520,40,0.707,0.429,1483.0,0,1,0,1,1,1,0,0,0,0,1,1483,1463.0,0.0,1,1,56267.0,2609.0,1,52.6,0,11,7,0.897,36,1,,0,47.8,1,0.467,2,2,0,1,3,0,3,0,4.0,-17,3,0,2,0,1,0,25,1,Low,Negative,1286,0.037,0.0,11266.0,18,1.685,35.3,0.999009,HIGH,Digital engagement campaign | Financial advisory support | Cashback and rewards offer
140146,42,Male,Married,College,2,Salaried,77965,Middle,$60K - $80K,Tier 2,West,HNI,28,Mobile App,Savings Only,6,NRE/NRO,Blue,8418.73,0,0,325,1,2634.0,2954.0,20.96,2,69.83,3,6,2,3,41,838,24,0.65,0.412,7340.0,0,1,0,1,0,1,0,1,1,0,1,7340,500.0,0.0,0,3,47910.0,1345.0,1,86.5,1,15,9,0.786,8,1,4.5,0,45.6,1,0.15,3,33,1,0,3,2,4,0,2.2,0,3,0,1,1,1,0,64,0,High,Neutral,7988,0.044,0.086,7831.0,24,0.207,39.8,0.9994043,HIGH,Financial advisory support | Cashback and rewards offer
136277,32,Female,Married,Unknown,0,Self-Employed,18000,Low,Less than $40K,Tier 1,Central,Affluent,36,Online,Multi-Product,5,Current,Blue,1926.18,0,0,230,0,2059.0,1928.0,14.48,3,205.33,2,12,6,4,109,2464,37,0.569,0.321,1438.3,0,1,0,1,0,0,0,0,0,1,0,1438,1243.0,0.0,0,3,0.0,0.0,0,32.7,0,15,10,0.917,98,4,,0,53.1,1,0.145,2,2,0,0,3,0,2,0,4.4,69,6,0,2,1,1,0,233,0,High,Neutral,1121,0.0,0.0,6045.0,25,0.0,42.3,0.9983456,HIGH,Cashback and rewards offer
135493,52,Male,Single,High School,2,Self-Employed,83456,Upper-Middle,$80K - $120K,Tier 3,East,Affluent,43,DSA,Multi-Product,4,Savings,Blue,10690.62,0,0,34,1,5536.0,6370.0,6.26,3,136.92,3,14,10,7,111,1643,43,0.457,0.483,9100.0,2517,1,0,1,0,0,0,0,1,0,0,11617,1277.0,0.217,0,2,0.0,0.0,0,76.3,0,15,9,0.912,27,2,,1,58.4,1,0.414,2,6,1,2,3,0,1,0,3.4,62,4,0,1,1,1,1,21,1,High,Positive,5799,0.238,0.263,16594.0,24,0.0,54.6,0.95654315,HIGH,Cashback and rewards offer
133886,55,Female,Divorced,College,2,Retired,50584,Middle,$40K - $60K,Tier 1,North,Mass,36,Branch,Multi-Product,6,Current,Blue,6098.01,0,0,187,0,3156.0,4116.0,7.71,3,156.92,4,11,7,5,76,1883,44,0.53,0.63,1893.0,2517,1,1,1,0,0,0,0,0,1,0,4410,1028.0,0.571,0,3,0.0,0.0,0,25.4,0,18,6,0.852,19,3,,0,51.2,1,0.03,3,8,0,2,3,0,7,0,3.8,68,3,0,3,1,1,0,1,0,Medium,Negative,4286,0.522,0.608,9418.0,24,0.0,41.6,0.99480987,HIGH,Cashback and rewards offer
137218,37,Female,Single,Graduate,2,Retired,26840,Low,Less than $40K,Tier 2,Central,Affluent,36,Mobile App,Premium,2,Savings,Blue,4308.13,0,0,111,1,2500.0,2291.0,12.0,3,227.42,3,12,13,6,116,2729,45,0.889,0.406,1610.0,0,1,1,1,0,0,0,0,0,0,0,1610,1570.0,0.0,0,2,0.0,0.0,0,88.3,0,9,8,0.912,4,2,,1,57.8,1,0.075,0,0,0,0,0,1,6,0,2.6,46,4,0,0,1,0,0,62,0,High,Negative,2190,0.0,0.074,7514.0,17,0.0,50.5,0.9986424,HIGH,Digital engagement campaign | Cashback and rewards offer
139827,49,Female,Married,Graduate,4,Salaried,26131,Low,Less than $40K,Tier 3,Central,Affluent,42,Branch,Investment,2,Current,Blue,2939.56,0,0,29,0,3082.0,4155.0,20.47,3,156.17,3,10,8,8,135,1874,40,0.31,0.739,58.0,2517,1,0,1,0,0,0,0,0,1,0,2575,1284.0,0.977,0,3,0.0,0.0,0,46.1,0,10,7,0.897,29,2,3.6,0,44.6,1,0.146,3,3,2,1,3,0,3,0,2.5,-21,4,0,2,0,1,1,1,0,Low,Negative,2104,0.918,0.917,9143.0,17,0.0,40.9,0.9992836,HIGH,Priority complaint resolution | Digital engagement campaign | Financial advisory support | Cashback and rewards offer
133612,48,Female,Married,High School,4,Salaried,50392,Middle,$40K - $60K,Tier 2,South,HNI,43,DSA,Multi-Product,4,Current,Blue,3952.28,0,0,110,1,2637.0,3184.0,22.3,3,210.0,4,21,8,5,73,2520,45,0.722,0.452,1438.3,0,1,0,1,0,0,1,0,1,0,0,1438,1510.0,0.0,0,2,20254.0,868.0,2,60.8,0,17,2,0.895,14,2,,0,52.4,1,0.382,3,49,0,0,2,2,4,0,4.2,-44,3,0,0,0,0,0,33,1,High,Neutral,4247,0.0,0.131,7686.0,19,0.2067,43.6,0.99909437,HIGH,Digital engagement campaign | Financial advisory support | Cashback and rewards offer
135833,41,Male,Married,High School,4,Homemaker,18000,Low,Less than $40K,Tier 1,East,Affluent,32,Online,Multi-Product,2,Savings,Blue,3137.41,1,1,168,1,6730.0,8112.0,14.88,6,675.75,3,10,5,3,99,8109,74,0.943,0.762,7769.0,0,0,0,1,0,0,0,0,0,1,0,7769,5043.0,0.0,0,0,0.0,0.0,0,41.9,0,12,0,0.857,10,1,,1,57.1,1,0.075,1,7,0,0,3,0,6,0,2.6,-3,2,0,2,1,1,0,102,1,Medium,Negative,1117,0.009,0.112,20249.0,12,0.0,62.6,0.9986469,HIGH,Digital engagement campaign | Cashback and rewards offer
138723,38,Female,Married,High School,2,Self-Employed,54981,Middle,$40K - $60K,Tier 2,Central,Mass,28,Mobile App,Investment,3,Salary,Blue,7299.1,0,0,2,0,6818.0,9231.0,28.23,1,61.5,3,13,7,7,67,738,16,0.419,0.231,7225.0,0,1,0,1,0,0,0,0,0,1,0,7225,500.0,0.0,0,2,0.0,0.0,0,81.2,0,15,3,0.9,19,1,1.3,1,63.3,1,0.131,2,4,0,0,2,0,3,0,3.4,-6,4,0,1,0,0,0,214,0,High,Negative,5239,0.0,0.103,19344.0,18,0.0,54.0,0.99963164,HIGH,Digital engagement campaign | Financial advisory support | Cashback and rewards offer
136455,56,Female,Single,Graduate,3,Self-Employed,50002,Middle,Unknown,Tier 2,East,Affluent,36,Branch,Multi-Product,3,Savings,Blue,8908.14,1,1,171,0,4360.0,5993.0,27.75,3,233.67,2,8,3,6,119,2804,37,0.735,0.542,8144.0,1872,1,0,1,1,0,0,1,1,0,0,10016,1142.0,0.187,1,2,77208.0,3745.0,1,40.3,0,15,5,0.895,54,2,,0,53.9,1,0.022,1,4,0,1,3,0,0,0,1.6,60,6,0,1,0,0,0,365,1,Medium,Negative,3867,0.194,0.16,12840.0,20,0.8988,44.0,0.9970778,HIGH,Financial advisory support | Cashback and rewards offer
136993,43,Female,Married,Post-Graduate,2,Retired,30969,Lower-Middle,Less than $40K,Tier 1,North,HNI,37,Mobile App,Investment,3,Salary,Blue,1753.51,0,0,198,1,7853.0,7330.0,12.72,2,81.17,5,15,9,4,108,974,28,1.004,0.273,1438.3,0,0,0,1,0,1,0,0,0,1,1,1438,649.0,0.0,1,2,52157.0,1541.0,4,16.1,0,16,8,0.848,36,3,3.5,0,50.0,1,0.404,4,17,2,2,1,0,3,1,2.6,2,7,0,1,2,0,0,100,0,High,Negative,2719,0.0,0.0,24209.0,24,0.5971,39.2,0.99870956,HIGH,Priority complaint resolution | Cashback and rewards offer | Relationship manager intervention
134720,55,Male,Married,High School,1,Business Owner,67923,Middle,$60K - $80K,Tier 1,West,HNI,46,Mobile App,Premium,2,Savings,Blue,13488.68,0,0,4,1,5775.0,7164.0,8.79,1,74.0,2,13,9,0,89,888,18,1.037,1.25,1438.3,0,1,0,1,0,1,0,0,1,0,1,1438,611.0,0.0,0,5,95027.0,2383.0,0,77.0,0,9,3,0.917,19,1,,1,57.1,1,0.012,2,13,1,1,3,2,3,0,5.0,12,3,0,1,0,1,0,64,0,Medium,Negative,5322,0.0,0.146,17497.0,12,0.421,55.7,0.9984024,HIGH,Digital engagement campaign | Cashback and rewards offer
138451,45,Female,Single,High School,3,Business Owner,58737,Middle,Unknown,Tier 2,South,Mass,35,Mobile App,Investment,3,Savings,Blue,7821.66,1,0,21,1,4199.0,5656.0,21.4,4,150.08,5,9,6,4,77,1801,48,0.597,0.548,995.0,2517,1,0,1,1,0,0,0,0,1,0,3512,1235.0,0.717,0,1,84488.0,3140.0,3,55.7,0,13,3,0.792,4,1,,1,58.0,1,0.127,1,2,0,4,6,0,3,0,2.6,18,2,0,1,2,1,0,137,0,Medium,Neutral,4850,0.7,0.659,12848.0,16,0.6415,48.4,0.99846834,HIGH,Digital engagement campaign | Financial advisory support | Cashback and rewards offer
134856,47,Female,Married,Post-Graduate,4,Retired,49468,Lower-Middle,Unknown,Tier 2,Central,HNI,42,Online,Multi-Product,4,Current,Blue,6750.43,1,0,36,1,5249.0,3730.0,-1.66,3,200.0,3,18,6,4,125,2400,43,0.706,0.433,6451.0,0,1,0,1,0,0,0,0,1,1,0,6451,1765.0,0.0,1,1,0.0,0.0,0,64.6,0,8,9,0.903,6,1,,0,49.5,1,0.16,2,4,0,1,4,1,0,0,3.6,-6,3,0,0,2,0,0,298,1,High,Positive,3810,0.006,0.048,15408.0,17,0.0,36.2,0.9902659,HIGH,Digital engagement campaign | Cashback and rewards offer
139227,47,Female,Single,Graduate,4,Retired,32616,Lower-Middle,Less than $40K,Tier 3,South,Affluent,39,Referral,Multi-Product,3,Savings,Blue,6492.15,0,0,259,1,24237.0,25059.0,-4.78,4,191.25,1,8,9,6,106,2295,51,0.854,0.545,1438.3,0,1,0,1,0,0,1,1,0,1,0,1438,1222.0,0.0,1,4,171630.0,5868.0,2,82.5,0,14,7,0.958,5,2,4.2,0,48.3,1,0.475,1,1,0,2,6,1,7,0,3.3,33,5,0,3,0,0,0,4,1,Medium,Neutral,2944,0.022,0.064,72867.0,21,2.1589,41.5,0.8454014,HIGH,Cashback and rewards offer
137723,42,Female,Single,Graduate,3,Self-Employed,55185,Middle,$40K - $60K,Tier 2,Central,Mass,36,Branch,Multi-Product,6,Current,Blue,12128.32,0,0,18,0,3790.0,2703.0,21.0,2,182.67,1,14,3,1,67,2192,35,0.752,0.458,852.0,599,1,0,1,1,0,0,0,1,1,0,1451,1524.0,0.413,1,2,99499.0,2793.0,2,17.4,0,14,8,0.947,40,0,,0,51.6,1,0.368,2,10,0,2,3,0,4,0,3.8,33,5,0,2,2,1,0,139,0,Medium,Negative,5286,0.376,0.28,11204.0,22,0.6073,40.6,0.99933344,HIGH,Financial advisory support | Cashback and rewards offer
134443,42,Male,Married,Uneducated,4,Retired,162345,High,$120K +,Tier 3,West,HNI,34,Mobile App,Multi-Product,2,Savings,Blue,25481.97,1,2,71,1,7533.0,10395.0,28.56,4,223.5,7,5,5,7,95,2682,48,0.567,0.231,4727.0,468,1,1,1,0,0,0,0,1,1,1,5195,1662.0,0.09,0,1,0.0,0.0,0,28.4,0,13,8,0.708,20,3,4.6,0,43.1,1,0.252,1,10,0,1,3,0,2,0,3.3,63,6,0,3,0,0,0,365,0,Medium,Negative,14880,0.083,0.199,23900.0,21,0.0,31.9,0.98156285,HIGH,Financial advisory support | Cashback and rewards offer
138118,39,Male,Married,Uneducated,2,Self-Employed,156367,High,$120K +,Tier 1,South,HNI,19,Online,Savings Only,2,Savings,Silver,16402.08,0,0,200,1,10520.0,12824.0,17.34,6,643.42,2,11,4,8,49,7721,75,0.841,0.667,33720.0,796,0,0,1,0,0,0,0,1,1,0,34516,4802.0,0.023,1,1,0.0,0.0,0,66.4,0,6,9,0.92,27,1,,1,56.6,1,0.14,2,9,0,2,2,1,2,0,4.2,33,4,0,7,1,1,0,92,1,Medium,Negative,13884,0.058,0.042,30763.0,15,0.0,50.7,0.99360967,HIGH,Digital engagement campaign | Cashback and rewards offer
136383,62,Female,Single,Uneducated,0,Salaried,24191,Low,Less than $40K,Tier 1,North,Affluent,36,Referral,Investment,6,Salary,Blue,2132.51,1,0,71,1,3386.0,4324.0,22.23,3,551.08,3,6,3,5,92,6613,40,0.394,0.429,5780.0,0,1,0,1,0,0,0,0,0,0,0,5780,3638.0,0.0,0,7,0.0,0.0,0,76.6,0,15,5,0.824,5,1,,1,54.8,1,0.454,2,27,1,1,3,0,3,0,2.9,2,6,0,5,1,0,0,118,1,High,Neutral,1878,0.045,0.0,10029.0,20,0.0,49.7,0.99959487,HIGH,Financial advisory support | Cashback and rewards offer
134285,51,Female,Single,Unknown,3,Salaried,43222,Lower-Middle,$40K - $60K,Tier 1,North,HNI,38,Online,Lending,3,Current,Blue,5330.82,0,0,167,1,2180.0,2754.0,27.42,3,153.67,3,13,5,8,110,1844,37,0.564,0.609,5026.0,0,1,1,1,0,0,0,0,1,1,0,5026,1265.0,0.0,1,3,0.0,0.0,0,61.5,0,21,6,0.897,10,1,,1,65.4,1,0.121,2,21,1,6,3,3,4,0,5.0,28,2,0,2,2,1,0,22,0,High,Positive,2899,0.0,0.015,6301.0,27,0.0,61.0,0.9931456,HIGH,Financial advisory support | Cashback and rewards offer
140740,32,Female,Divorced,Unknown,0,Self-Employed,28017,Low,Less than $40K,Tier 1,East,Affluent,36,Mobile App,Savings Only,6,Current,Blue,2582.42,0,0,178,1,1505.0,1614.0,7.71,3,206.58,3,7,7,2,107,2479,43,0.683,0.536,1732.0,0,1,0,1,0,0,1,0,1,1,0,1732,1224.0,0.0,0,4,17247.0,410.0,2,77.7,0,9,7,0.842,38,2,3.1,1,55.2,1,0.57,1,30,0,1,3,2,3,0,3.1,-9,2,0,2,1,1,0,28,0,High,Negative,2336,0.0,0.046,4435.0,16,0.1756,41.5,0.9995752,HIGH,Digital engagement campaign | Cashback and rewards offer
136892,44,Female,Married,Graduate,4,Salaried,54380,Middle,$40K - $60K,Tier 2,Central,Affluent,36,Online,Lending,6,Savings,Blue,12670.44,0,0,3,1,2200.0,2477.0,3.09,3,190.58,2,9,3,5,97,2287,42,0.553,0.5,1452.0,0,1,0,1,0,0,1,0,1,1,1,1452,1525.0,0.0,1,2,32065.0,1502.0,3,20.6,0,15,8,0.895,11,2,,1,61.0,1,0.398,1,5,0,1,3,1,5,0,2.2,9,7,0,4,1,0,0,149,1,High,Negative,5103,0.0,0.0,7215.0,23,0.3314,57.4,0.99939287,HIGH,Cashback and rewards offer
136647,42,Female,Married,Graduate,4,Retired,48470,Lower-Middle,$40K - $60K,Tier 3,North,Mass,33,Mobile App,Lending,4,Savings,Blue,3226.96,1,0,34,0,6591.0,5808.0,24.98,4,171.33,4,14,10,13,114,2056,54,0.559,0.459,2918.0,0,1,0,1,0,0,0,0,0,1,0,2918,1568.0,0.0,1,1,0.0,0.0,0,1.0,0,12,7,0.902,51,2,2.4,0,46.3,1,0.101,3,28,1,1,2,0,3,0,2.0,80,4,0,1,1,1,0,30,1,High,Neutral,3861,0.0,0.143,19771.0,19,0.0,39.0,0.99744284,HIGH,Digital engagement campaign | Financial advisory support | Cashback and rewards offer
136187,51,Male,Single,Uneducated,2,Homemaker,146160,High,$120K +,Tier 2,Central,HNI,39,Online,Multi-Product,3,Salary,Blue,16451.07,1,1,2,1,8657.0,9217.0,13.29,2,78.33,1,11,6,3,97,940,25,0.938,0.471,16868.0,0,1,1,1,0,1,0,0,1,0,0,16868,500.0,0.0,0,1,34636.0,1440.0,3,46.3,0,6,7,0.952,37,0,,1,55.2,1,0.219,1,5,0,0,1,1,8,0,2.0,-10,2,0,0,0,0,0,95,1,High,Neutral,12261,0.0,0.033,26250.0,13,0.1182,54.3,0.9976417,HIGH,Digital engagement campaign | Cashback and rewards offer
